date,close
2014-03-24,360.9059
2014-03-25,370.9734
2014-03-26,367.3125
2014-03-27,366.7023
2014-03-28,373.109
2014-03-31,372.1937
2014-04-01,373.7191
2014-04-02,371.8886
2014-04-03,377.075
2014-04-04,385.312
2014-04-08,390.4983
2014-04-09,385.6171
2014-04-10,381.346
2014-04-11,382.2613
2014-04-14,382.5663
2014-04-15,387.4476
2014-04-16,385.0069
2014-04-17,381.346
2014-04-18,365.482
2014-04-21,362.7363
2014-04-22,366.7023
2014-04-23,365.7871
2014-04-24,367.9226
2014-04-25,368.2277
2014-04-28,360.6008
2014-04-29,361.8211
2014-04-30,355.7196
2014-05-05,360.2957
2014-05-06,358.4653
2014-05-07,358.4653
2014-05-08,359.3805
2014-05-09,360.9059
2014-05-12,369.448
2014-05-13,367.0074
2014-05-14,365.7871
2014-05-15,361.8211
2014-05-16,350.2282
2014-05-19,351.1434
2014-05-20,348.7028
2014-05-21,346.8723
2014-05-22,350.2282
2014-05-23,349.9231
2014-05-26,363.0414
2014-05-27,363.0414
2014-05-28,355.1094
2014-05-29,353.8891
2014-05-30,353.584
2014-06-03,351.4485
2014-06-04,352.9739
2014-06-05,359.0754
2014-06-06,359.0754
2014-06-09,357.245
2014-06-10,355.7196
2014-06-11,351.4485
2014-06-12,346.5673
2014-06-13,349.0079
2014-06-16,345.9571
2014-06-17,349.618
2014-06-18,347.7876
2014-06-19,345.652
2014-06-20,349.9231
2014-06-23,347.7876
2014-06-24,348.3977
2014-06-25,348.3977
2014-06-26,352.9739
2014-06-27,347.7876
2014-06-30,343.8216
2014-07-01,344.4317
2014-07-02,345.347
2014-07-03,342.6013
2014-07-04,339.8556
2014-07-07,340.1607
2014-07-08,340.7708
2014-07-09,338.6353
2014-07-10,337.1099
2014-07-11,332.5337
2014-07-14,332.5337
2014-07-15,334.0591
2014-07-16,331.9236
2014-07-17,331.0084
2014-07-18,329.788
2014-07-21,331.9236
2014-07-22,331.6185
2014-07-23,324.6017
2014-07-24,322.1182
2014-07-25,318.8438
2014-07-28,320.8203
2014-07-29,323.1085
2014-07-30,320.2743
2014-07-31,319.7074
2014-08-01,315.1725
2014-08-04,320.5577
2014-08-05,320.8411
2014-08-06,320.8411
2014-08-07,322.8251
2014-08-08,321.9748
2014-08-11,321.1245
2014-08-12,317.1565
2014-08-13,316.3063
2014-08-14,307.8034
2014-08-15,313.1885
2014-08-18,310.9211
2014-08-19,313.1885
2014-08-20,310.3543
2014-08-21,311.2045
2014-08-22,312.6217
2014-08-25,314.8891
2014-08-26,318.0068
2014-08-27,314.6057
2014-08-28,312.6217
2014-08-29,313.472
2014-09-01,309.7874
2014-09-02,316.0228
2014-09-03,310.6377
2014-09-04,309.7874
2014-09-05,307.2365
2014-09-09,301.568
2014-09-10,304.1188
2014-09-11,302.4183
2014-09-12,304.4023
2014-09-15,309.2205
2014-09-16,306.6697
2014-09-17,309.504
2014-09-18,308.0868
2014-09-19,305.2525
2014-09-22,297.3165
2014-09-23,302.1348
2014-09-24,302.7017
2014-09-25,298.1668
2014-09-26,300.7177
2014-09-29,297.3165
2014-09-30,297.6
2014-10-08,299.0171
2014-10-09,308.3703
2014-10-10,305.536
2014-10-13,311.2045
2014-10-14,308.0868
2014-10-15,306.9531
2014-10-16,304.4023
2014-10-17,304.6857
2014-10-20,307.8034
2014-10-21,306.3863
2014-10-22,307.2365
2014-10-23,308.6537
2014-10-24,314.6057
2014-10-27,310.6377
2014-10-28,308.0868
2014-10-29,309.2205
2014-10-30,308.3703
2014-10-31,307.52
2014-11-03,307.52
2014-11-04,302.9851
2014-11-05,300.4343
2014-11-06,301.2845
2014-11-07,302.7017
2014-11-10,304.6857
2014-11-11,302.9851
2014-11-12,303.8354
2014-11-13,302.7017
2014-11-14,301.568
2014-11-17,301.568
2014-11-18,298.4503
2014-11-19,298.4503
2014-11-20,299.0171
2014-11-21,299.3005
2014-11-24,300.1508
2014-11-25,302.4183
2014-11-26,302.4183
2014-11-27,304.3891
2014-11-28,302.0876
2014-12-01,300.413
2014-12-02,300.1802
2014-12-03,301.6359
2014-12-04,302.5094
2014-12-05,301.6359
2014-12-08,299.5978
2014-12-09,300.1802
2014-12-10,301.0536
2014-12-11,301.6359
2014-12-12,303.9652
2014-12-15,303.3829
2014-12-16,301.9271
2014-12-17,298.4332
2014-12-18,300.4713
2014-12-19,304.2563
2014-12-22,296.9775
2014-12-23,290.8632
2014-12-24,294.3571
2014-12-25,292.6101
2014-12-26,293.1925
2014-12-29,293.1925
